step,step_loss,lr
772,0.063080,0.00007716
773,0.159265,0.00007709
774,0.162804,0.00007701
775,0.068103,0.00007694
776,0.148429,0.00007686
777,0.277585,0.00007679
778,0.166068,0.00007672
779,0.099025,0.00007664
780,0.106626,0.00007657
781,0.083668,0.00007650
782,0.179484,0.00007642
783,0.236468,0.00007635
784,0.063603,0.00007627
785,0.110059,0.00007620
786,0.113696,0.00007612
787,0.175058,0.00007605
788,0.070834,0.00007598
789,0.161821,0.00007590
790,0.112156,0.00007583
791,0.113024,0.00007575
792,0.122562,0.00007568
793,0.069121,0.00007560
794,0.218425,0.00007553
795,0.101470,0.00007545
796,0.266679,0.00007538
797,0.154068,0.00007530
798,0.041220,0.00007523
799,0.151641,0.00007515
800,0.037151,0.00007508
801,0.120893,0.00007500
802,0.285398,0.00007492
803,0.090495,0.00007485
804,0.111660,0.00007477
805,0.023582,0.00007470
806,0.116530,0.00007462
807,0.127260,0.00007455
808,0.066884,0.00007447
809,0.094134,0.00007439
810,0.161739,0.00007432
811,0.051036,0.00007424
812,0.087527,0.00007416
813,0.074304,0.00007409
814,0.116964,0.00007401
815,0.089766,0.00007393
816,0.069424,0.00007386
817,0.197314,0.00007378
818,0.134411,0.00007370
819,0.085196,0.00007363
820,0.137514,0.00007355
821,0.221742,0.00007347
822,0.194648,0.00007340
823,0.049225,0.00007332
824,0.128303,0.00007324
825,0.092294,0.00007316
826,0.128251,0.00007309
827,0.128785,0.00007301
828,0.163222,0.00007293
829,0.100674,0.00007285
830,0.222234,0.00007278
831,0.174165,0.00007270
832,0.140211,0.00007262
833,0.456517,0.00007254
834,0.144914,0.00007247
835,0.097437,0.00007239
836,0.166395,0.00007231
837,0.164625,0.00007223
838,0.121073,0.00007215
839,0.129900,0.00007208
840,0.069945,0.00007200
841,0.149785,0.00007192
842,0.155325,0.00007184
843,0.221158,0.00007176
844,0.206118,0.00007168
845,0.075736,0.00007160
846,0.074439,0.00007153
847,0.127332,0.00007145
848,0.131268,0.00007137
849,0.140462,0.00007129
850,0.202578,0.00007121
851,0.110749,0.00007113
852,0.181355,0.00007105
853,0.093265,0.00007097
854,0.048525,0.00007089
855,0.155446,0.00007081
856,0.129958,0.00007073
857,0.117294,0.00007066
858,0.093166,0.00007058
859,0.115881,0.00007050
860,0.175200,0.00007042
861,0.028623,0.00007034
862,0.124970,0.00007026
863,0.105004,0.00007018
864,0.062000,0.00007010
865,0.117648,0.00007002
866,0.081576,0.00006994
867,0.153586,0.00006986
868,0.083833,0.00006978
869,0.077283,0.00006970
870,0.184324,0.00006962
871,0.073649,0.00006954
872,0.087619,0.00006946
873,0.120954,0.00006938
874,0.139210,0.00006930
875,0.387696,0.00006921
876,0.159978,0.00006913
877,0.190754,0.00006905
878,0.110931,0.00006897
879,0.096992,0.00006889
880,0.241230,0.00006881
881,0.150470,0.00006873
882,0.371026,0.00006865
883,0.095545,0.00006857
884,0.140802,0.00006849
885,0.107955,0.00006841
886,0.129550,0.00006833
887,0.123280,0.00006824
888,0.182583,0.00006816
889,0.025281,0.00006808
890,0.298659,0.00006800
891,0.095659,0.00006792
892,0.067577,0.00006784
893,0.108866,0.00006776
894,0.124803,0.00006767
895,0.087244,0.00006759
896,0.019598,0.00006751
897,0.108594,0.00006743
898,0.315337,0.00006735
899,0.153120,0.00006726
900,0.144901,0.00006718
901,0.082120,0.00006710
902,0.093892,0.00006702
903,0.134417,0.00006694
904,0.060321,0.00006685
905,0.165893,0.00006677
906,0.105654,0.00006669
907,0.068404,0.00006661
908,0.134636,0.00006653
909,0.095307,0.00006644
910,0.060749,0.00006636
911,0.191483,0.00006628
912,0.173189,0.00006620
913,0.089924,0.00006611
914,0.200394,0.00006603
915,0.188115,0.00006595
916,0.127814,0.00006587
917,0.299895,0.00006578
918,0.099603,0.00006570
919,0.138789,0.00006562
920,0.139673,0.00006553
921,0.081283,0.00006545
922,0.209468,0.00006537
923,0.171840,0.00006528
924,0.137927,0.00006520
925,0.104970,0.00006512
926,0.155820,0.00006504
927,0.208749,0.00006495
928,0.255363,0.00006487
929,0.082796,0.00006479
930,0.160636,0.00006470
931,0.091288,0.00006462
932,0.243645,0.00006454
933,0.130539,0.00006445
934,0.116135,0.00006437
935,0.184081,0.00006428
936,0.134665,0.00006420
937,0.138927,0.00006412
938,0.027877,0.00006403
939,0.161374,0.00006395
940,0.081236,0.00006387
941,0.140953,0.00006378
942,0.040349,0.00006370
943,0.056228,0.00006361
944,0.059957,0.00006353
945,0.448536,0.00006353
946,0.185219,0.00006345
947,0.190237,0.00006336
948,0.149446,0.00006328
949,0.148236,0.00006319
